Thalane Truthhauler Kalukithino
Vaukio Lonesmasher Muthalithino
Zauthea Wiseleaper Agu-Ulalathi
Orikeo Deerrunner Ovethatho
Parra Daywarrior Ugunukane
Vaulea Braveclimber Ogolupine
Daumeo Daywatcher Kolae-Gatake
Ilathea Wanderstriker Elanigone
Thunu Strongleaper Valu-Nathala
Laune Riverlander Anakaleaku
Thameo Truthworker Agu-Vukate
Zathe Bearspeaker Uguniala
Khupath Hardhand Egumugoni
Zaman Wandervigor Munakigala
Lorovek Truthworker Kulanugate
Pulig Truthtwister Inululane
Naumahg Truthdream Inulageane
Zaroth Swiftdream Anakaligala
Ilarein Silentfrightener Katho-Olageane
Zamahg Hornlander Ovethigano
Ergmak Goattwister Nalakiala
Laphak Lonecook Geaniala
Vegapath Wiseheart Inululane
Maraghan Rockmender Kolakatho
